ticker,grade,composite_score,base_type,depth_pct,pivot_source,rs_percentile,power_rank,distance_to_pivot_pct,reward_to_risk,stop_price
AAPL,REJECT,0.0,standard_base,0.0,,,,0.0,,
MSFT,REJECT,0.0,standard_base,0.0,,,,0.0,,
NVDA,REJECT,44.3,flat_base,12.1,flat_max_spike_filtered,37.4,26.0,-1.88,1.89,184.2
AMD,REJECT,0.0,standard_base,0.0,,,,0.0,,
TSLA,REJECT,0.0,standard_base,0.0,,,,0.0,,
INTC,REJECT,0.0,standard_base,0.0,,,,0.0,,
GDS,REJECT,0.0,standard_base,0.0,,,,0.0,,
QBTS,REJECT,0.0,standard_base,0.0,,,,0.0,,
IONQ,REJECT,0.0,standard_base,0.0,,,,0.0,,
RGTI,REJECT,0.0,standard_base,0.0,,,,0.0,,
QUBT,REJECT,0.0,standard_base,0.0,,,,0.0,,
PFE,REJECT,45.1,flat_base,12.1,flat_max_spike_filtered,52.3,36.0,-3.17,2.64,26.88
JNJ,A+,89.6,flat_base,10.9,flat_max_spike_filtered,70.6,52.6,-0.59,4.3,241.22
MRK,REJECT,0.0,standard_base,0.0,,,,0.0,,
ABBV,REJECT,0.0,standard_base,0.0,,,,0.0,,
BMY,A+,87.5,flat_base,13.7,flat_max_spike_filtered,86.1,66.9,-1.27,2.65,59.71
LLY,REJECT,0.0,standard_base,0.0,,,,0.0,,
GILD,REJECT,0.0,standard_base,0.0,,,,0.0,,
AMGN,C,55.2,cup,18.9,cup_handle,56.9,50.3,-0.39,3.0,369.0
REGN,B,73.0,flat_base,12.5,flat_max_spike_filtered,40.0,46.0,-3.16,2.42,780.42
VRTX,REJECT,0.0,standard_base,0.0,,,,0.0,,
BIIB,C,56.1,cup,20.8,cup_handle,60.5,57.2,-2.09,2.01,190.32
TEVA,REJECT,0.0,standard_base,0.0,,,,0.0,,
ZTS,REJECT,0.0,standard_base,0.0,,,,0.0,,
ALKS,REJECT,0.0,standard_base,0.0,,,,0.0,,
IONS,C,61.7,flat_base,14.5,flat_max_spike_filtered,58.9,79.5,-2.25,2.19,82.63
INCY,REJECT,0.0,standard_base,0.0,,,,0.0,,
RHM.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
HAG.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
HO.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
SAF.PA,C,59.0,cup,19.8,cup_handle,71.9,49.3,-1.37,2.59,398.0
AM.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
BA.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
RR.L,C,61.6,flat_base,11.9,flat_max_spike_filtered,82.2,57.5,-1.37,2.44,1296.16
QQ.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
LDO.MI,REJECT,0.0,standard_base,0.0,,,,0.0,,
IDR.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
SAAB-B.ST,REJECT,0.0,standard_base,0.0,,,,0.0,,
KOG.OL,REJECT,0.0,standard_base,0.0,,,,0.0,,
SAP.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
ASML.AS,REJECT,0.0,standard_base,0.0,,,,0.0,,
ADYEN.AS,REJECT,0.0,standard_base,0.0,,,,0.0,,
CAP.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
SGE.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
DBK.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
CBK.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
BNP.PA,A+,87.8,flat_base,12.9,flat_max_spike_filtered,87.2,68.2,-1.3,2.67,110.31
GLE.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
HSBA.L,A,84.3,flat_base,9.0,flat_max_spike_filtered,73.3,55.6,-2.25,2.77,1274.93
LLOY.L,C,57.2,cup,18.8,cup_handle,64.8,56.4,-1.98,2.0,100.6
BARC.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
SAN.MC,A,84.5,flat_base,11.7,flat_max_spike_filtered,73.9,57.3,-2.69,2.1,12.62
BBVA.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
ISP.MI,REJECT,0.0,standard_base,0.0,,,,0.0,,
UCG.MI,REJECT,54.9,flat_base,12.9,flat_max_spike_filtered,67.4,50.9,-4.95,1.99,86.91
INGA.AS,A,76.6,flat_base,10.8,flat_max_spike_filtered,60.4,46.0,-5.08,2.58,29.92
UBSG.SW,REJECT,0.0,standard_base,0.0,,,,0.0,,
VOW3.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
BMW.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
RNO.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
PEUG.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
VOLV-B.ST,REJECT,0.0,standard_base,0.0,,,,0.0,,
BP.L,REJECT,43.8,flat_base,11.8,flat_max_spike_filtered,35.1,28.2,-2.07,2.15,461.58
SHEL.L,REJECT,44.9,flat_base,11.0,flat_max_spike_filtered,39.7,28.4,-0.84,3.2,2896.79
TTE.PA,C,57.9,cup,20.0,cup_handle,67.5,52.5,-0.77,3.67,76.5
ENI.MI,C,56.1,flat_base,11.6,flat_max_spike_filtered,60.4,42.5,-0.6,4.2,21.65
REP.MC,C,65.0,cup,20.7,cup_handle,71.8,54.6,-0.46,2.62,21.12
EQNR.OL,REJECT,0.0,standard_base,0.0,,,,0.0,,
NOVN.SW,A+,85.1,flat_base,13.1,flat_max_spike_filtered,76.4,54.9,-1.2,3.53,125.87
ROG.SW,A,82.4,flat_base,11.1,flat_max_spike_filtered,65.8,55.0,-0.54,3.84,362.7
GSK.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
AZN.L,REJECT,52.6,cup,15.7,cup_handle,46.5,46.2,-2.46,2.83,15175.15
HIK.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
SAN.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
IPS.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
BAYN.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
MRK.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
FRE.DE,REJECT,46.9,flat_base,12.6,flat_max_spike_filtered,47.7,31.3,-2.34,4.17,60.99
EVT.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
NOVO-B.CO,REJECT,0.0,standard_base,0.0,,,,0.0,,
UCB.BR,A,75.6,flat_base,13.6,flat_max_spike_filtered,56.4,46.2,-6.67,2.34,326.97
